Verein Nr;Spieler Name;Spieler Nr;date;old club;old club nr;old club country;new club;new club nr;new club country;market value;transfer sum
434;Samuele Campo;183446;01.07.2024;FC Luzern;434;Switzerland;;;;100 Tsd. €;-
434;Samuele Campo;183446;02.07.2021;FC Basel;26;Switzerland;FC Luzern;434;Switzerland;600 Tsd. €;ablösefrei
434;Samuele Campo;183446;30.06.2021;Darmstadt 98;105;Germany;FC Basel;26;Switzerland;600 Tsd. €;Leih-Ende
434;Samuele Campo;183446;01.02.2021;FC Basel;26;Switzerland;Darmstadt 98;105;Germany;1,00 Mio. €;Leihe
434;Samuele Campo;183446;01.01.2018;Lausanne-Sport;527;Switzerland;FC Basel;26;Switzerland;1,50 Mio. €;?
434;Samuele Campo;183446;25.01.2016;FC Basel U21;5299;Switzerland;Lausanne-Sport;527;Switzerland;150 Tsd. €;?
434;Samuele Campo;183446;01.01.2013;FC Basel U18;14322;Switzerland;FC Basel U21;5299;Switzerland;-;-
434;Samuele Campo;183446;01.07.2011;FC Basel U16;32336;Switzerland;FC Basel U18;14322;Switzerland;-;-
434;Serkan Izmirlioglu;388664;01.07.2024;FC Luzern;434;Switzerland;;;;100 Tsd. €;-
434;Serkan Izmirlioglu;388664;30.06.2023;AC Bellinzona;2047;Switzerland;FC Luzern;434;Switzerland;250 Tsd. €;Leih-Ende
434;Serkan Izmirlioglu;388664;07.07.2022;FC Luzern;434;Switzerland;AC Bellinzona;2047;Switzerland;250 Tsd. €;Leihe
434;Serkan Izmirlioglu;388664;26.01.2022;FC Wil 1900;850;Switzerland;FC Luzern;434;Switzerland;250 Tsd. €;?
434;Serkan Izmirlioglu;388664;01.07.2020;SC Brühl SG;13544;Switzerland;FC Wil 1900;850;Switzerland;25 Tsd. €;ablösefrei
434;Serkan Izmirlioglu;388664;15.07.2019;St. Gallen U21;9178;Switzerland;SC Brühl SG;13544;Switzerland;-;ablösefrei
434;Serkan Izmirlioglu;388664;01.07.2016;FC Frauenfeld;2399;Switzerland;St. Gallen U21;9178;Switzerland;-;ablösefrei
434;Serkan Izmirlioglu;388664;01.07.2015;FCF Jugend;41173;Switzerland;FC Frauenfeld;2399;Switzerland;-;-
434;Pascal Loretz;583038;01.07.2021;Luzern U18;14332;Switzerland;FC Luzern;434;Switzerland;-;-
434;Pascal Loretz;583038;01.07.2020;Luzern U17;25022;Switzerland;Luzern U18;14332;Switzerland;-;-
434;Pascal Loretz;583038;01.07.2019;Luzern U16;74948;Switzerland;Luzern U17;25022;Switzerland;;-
434;Pascal Loretz;583038;01.07.2018;Luzern Jgd.;42249;Switzerland;Luzern U16;74948;Switzerland;;-
434;Diego Heller;811022;20.07.2023;Luzern U21;5494;Switzerland;FC Luzern;434;Switzerland;150 Tsd. €;-
434;Diego Heller;811022;01.07.2022;Luzern U18;14332;Switzerland;Luzern U21;5494;Switzerland;-;-
434;Diego Heller;811022;01.07.2021;Luzern U17;25022;Switzerland;Luzern U18;14332;Switzerland;-;-
434;Vaso Vasic;68030;01.07.2021;Royal Mouscron;29228;Belgium;FC Luzern;434;Switzerland;250 Tsd. €;ablösefrei
434;Vaso Vasic;68030;31.01.2019;Apollon Smyrnis;441;Greece;Royal Mouscron;29228;Belgium;200 Tsd. €;ablösefrei
434;Vaso Vasic;68030;01.08.2018;Grasshoppers;504;Switzerland;Apollon Smyrnis;441;Greece;200 Tsd. €;ablösefrei
434;Vaso Vasic;68030;01.07.2014;FC Schaffhausen;1277;Switzerland;Grasshoppers;504;Switzerland;375 Tsd. €;ablösefrei
434;Vaso Vasic;68030;01.07.2012;SC YF Juventus;2395;Switzerland;FC Schaffhausen;1277;Switzerland;150 Tsd. €;ablösefrei
434;Vaso Vasic;68030;01.02.2012;FC Winterthur;242;Switzerland;SC YF Juventus;2395;Switzerland;150 Tsd. €;ablösefrei
434;Vaso Vasic;68030;01.07.2008;GC Zürich U21;5502;Switzerland;FC Winterthur;242;Switzerland;-;ablösefrei
434;Luca Jaquez;539798;27.01.2022;Luzern U21;5494;Switzerland;FC Luzern;434;Switzerland;-;-
