Verein_nr;Spieler Name;player_nr;Datum;old_club_name;old_club_nr;old_club_country;new_club_name;new_club_nr;new_club_country;MW;Ablöse
;;395671;10.01.2022;dijon fco;2969;France;bsc young boys;452;;1,00 Mio €;?
;;395671;25.09.2020;olympique lyon;1041;France;dijon fco;2969;France;450 Tsd €;ablösefrei
;;395671;01.07.2018;olympique lyon b;12764;France;olympique lyon;1041;France;-;-
;;395671;01.07.2017;olympique lyon u19;7813;France;olympique lyon b;12764;France;-;-
;;203124;30.06.2017;fc winterthur;242;Switzerland;bsc young boys;452;Switzerland;500 Tsd €;Leih Ende
;;203124;01.07.2015;bsc young boys;452;Switzerland;fc winterthur;242;Switzerland;50 Tsd €;Leihe
;;203124;01.07.2013;bsc young boys u21;5508;Switzerland;bsc young boys;452;Switzerland;-;-
;;203124;01.07.2012;bsc young boys u18;14438;Switzerland;bsc young boys u21;5508;Switzerland;-;-
;;254968;08.07.2022;fc schaffhausen;1277;Switzerland;bsc young boys;452;Switzerland;150 Tsd €;ablösefrei
;;254968;23.09.2021;;515;;fc schaffhausen;1277;Switzerland;300 Tsd €;-
;;254968;01.07.2021;bsc young boys;452;Switzerland;;515;;300 Tsd €;-
;;254968;30.06.2021;fc winterthur;242;Switzerland;bsc young boys;452;Switzerland;300 Tsd €;Leih Ende
;;254968;08.09.2020;bsc young boys;452;Switzerland;fc winterthur;242;Switzerland;150 Tsd €;Leihe
;;254968;01.07.2015;bsc young boys u21;5508;Switzerland;bsc young boys;452;Switzerland;100 Tsd €;-
;;254968;01.07.2014;bsc young boys u18;14438;Switzerland;bsc young boys u21;5508;Switzerland;-;-
;;254968;01.07.2013;bsc young boys u17;32283;Switzerland;bsc young boys u18;14438;Switzerland;-;-
;;635645;30.06.2024;bsc young boys;452;Switzerland;eintracht frankfurt;24;Germany;8,00 Mio €;Leih Ende
;;635645;25.01.2024;eintracht frankfurt;24;Germany;bsc young boys;452;Switzerland;5,00 Mio €;Leihe
;;635645;24.01.2024;bsc young boys;452;Switzerland;eintracht frankfurt;24;Germany;5,00 Mio €;9,50 Mio €
;;635645;01.01.2022;bsc young boys u21;5508;Switzerland;bsc young boys;452;Switzerland;25 Tsd €;-
;;635645;01.07.2020;bsc young boys u18;14438;Switzerland;bsc young boys u21;5508;Switzerland;-;-
;;635645;01.07.2019;bsc young boys u17;32283;Switzerland;bsc young boys u18;14438;Switzerland;-;-
;;635645;01.07.2018;bsc young boys u16;32282;Switzerland;bsc young boys u17;32283;Switzerland;-;-
;;426723;06.07.2018;hapoel raanana;20857;Israel;bsc young boys;452;Switzerland;-;1,50 Mio €
;;426723;11.07.2017;horoya ac;8474;Guinea;hapoel raanana;20857;Israel;-;?
;;426723;30.06.2017;hafia fc;25644;Guinea;horoya ac;8474;Guinea;-;Leih Ende
;;426723;23.01.2017;horoya ac;8474;Guinea;hafia fc;25644;Guinea;-;Leihe
;;426723;16.02.2016;satellite fc;2993;Guinea;horoya ac;8474;Guinea;-;ablösefrei
;;365107;15.02.2024;fc lausanne sport;527;Switzerland;bsc young boys;452;Switzerland;800 Tsd €;?
;;365107;27.07.2021;fc lausanne sport ii;15446;Switzerland;fc lausanne sport;527;Switzerland;-;-
;;365107;01.01.2020;fc lausanne sport u18;27999;Switzerland;fc lausanne sport ii;15446;Switzerland;-;-
;;365107;01.07.2018;fc lausanne sport u16;14197;Switzerland;fc lausanne sport u18;27999;Switzerland;-;-
;;119085;04.07.2022;fc sion;321;Switzerland;bsc young boys;452;Switzerland;800 Tsd €;800 Tsd €
;;119085;31.01.2022;;515;;fc sion;321;Switzerland;2,50 Mio €;-
;;119085;31.08.2021;fc girondins bordeaux;40;France;;515;;3,00 Mio €;-
;;119085;02.07.2019;bsc young boys;452;Switzerland;fc girondins bordeaux;40;France;4,00 Mio €;ablösefrei
;;119085;01.07.2015;benfica lissabon;294;Portugal;bsc young boys;452;Switzerland;2,50 Mio €;3,00 Mio €
;;119085;08.07.2014;fc zurich;260;Switzerland;benfica lissabon;294;Portugal;2,25 Mio €;3,00 Mio €
;;119085;01.02.2012;fc aarau;116;Switzerland;fc zurich;260;Switzerland;350 Tsd €;ablösefrei
;;119085;01.07.2009;team aargau u21;8087;Switzerland;fc aarau;116;Switzerland;-;-
;;42203;01.07.2024;bsc young boys;452;Switzerland;;123;;100 Tsd €;-
;;42203;01.07.2019;hertha bsc;44;Germany;bsc young boys;452;Switzerland;2,50 Mio €;ablösefrei
;;42203;10.08.2007;fc luzern;434;Switzerland;hertha bsc;44;Germany;600 Tsd €;1,50 Mio €
;;42203;01.07.2006;fc luzern u21;5494;Switzerland;fc luzern;434;Switzerland;-;-
;;42203;01.07.2005;team fc luzern sc kriens u18;14332;Switzerland;fc luzern u21;5494;Switzerland;-;-
;;42203;01.07.2004;fc luzern jugend;42249;Switzerland;team fc luzern sc kriens u18;14332;Switzerland;-;-
;;750903;19.01.2024;fc nantes;995;France;bsc young boys;452;Switzerland;1,50 Mio €;1,30 Mio €
;;750903;17.01.2023;paris fc;10004;France;fc nantes;995;France;800 Tsd €;300 Tsd €
;;750903;01.07.2020;paris fc u19;20290;France;paris fc;10004;France;-;-
;;750903;01.07.2019;paris fc jugend;83018;France;paris fc u19;20290;France;-;-
;;750903;01.07.2018;us creteil lusitanos jugend;83019;France;paris fc jugend;83018;France;-;ablösefrei
;;750903;01.07.2015;fc paris saint germain jugend;82891;France;us creteil lusitanos jugend;83019;France;-;ablösefrei
;;867674;30.06.2023;mjallby aif;2719;Sweden;bsc young boys;452;Switzerland;1,20 Mio €;Leih Ende
;;867674;08.02.2023;bsc young boys;452;Switzerland;mjallby aif;2719;Sweden;600 Tsd €;Leihe
;;867674;07.02.2023;mjallby aif;2719;Sweden;bsc young boys;452;Switzerland;600 Tsd €;1,00 Mio €
